Mass (kg),Lever Length (m),Static Torque (Nm)
3,0.1,2.943
3,0.2,5.886
3,0.3,8.828999999999999
3,0.4,11.772
3,0.5,14.715
3,0.6,17.657999999999998
3,0.7,20.601
3,0.8,23.544
3,0.9,26.487000000000002
3,1,29.43
7,0.1,6.867000000000001
7,0.2,13.734000000000002
7,0.3,20.601
7,0.4,27.468000000000004
7,0.5,34.335
7,0.6,41.202
7,0.7,48.068999999999996
7,0.8,54.93600000000001
7,0.9,61.803000000000004
7,1,68.67
10,0.1,9.810000000000002
10,0.2,19.620000000000005
10,0.3,29.43
10,0.4,39.24000000000001
10,0.5,49.050000000000004
10,0.6,58.86
10,0.7,68.67
10,0.8,78.48000000000002
10,0.9,88.29
10,1,98.10000000000001
